FOLDER,IN_FILE,CHANNEL,OFFSET,DURATION,DATE,TIME,HOUR,NDSI,ACI
"Black Bear 10.07-10.16/Data","S4A04633_20171011_180000.wav",0,0.000,3600.000,"2017-10-11","18:00:00.000",18,0.034901,152.034322

"Black Bear 10.07-10.16/Data","S4A04633_20171011_180000.wav",1,0.000,3600.000,"2017-10-11","18:00:00.000",18,-0.197355,151.976354

"Black Bear 10.07-10.16/Data","S4A04633_20171011_160000.wav",0,0.000,3600.000,"2017-10-11","16:00:00.000",16,-0.184171,152.671252

"Black Bear 10.07-10.16/Data","S4A04633_20171011_160000.wav",1,0.000,3600.000,"2017-10-11","16:00:00.000",16,-0.284598,153.020057

"Black Bear 10.07-10.16/Data","S4A04633_20171012_000000.wav",0,0.000,3600.000,"2017-10-12","00:00:00.000",0,0.817645,151.173048

"Black Bear 10.07-10.16/Data","S4A04633_20171012_000000.wav",1,0.000,3600.000,"2017-10-12","00:00:00.000",0,0.280977,150.393279

"Black Bear 10.07-10.16/Data","S4A04633_20171012_030000.wav",0,0.000,3600.000,"2017-10-12","03:00:00.000",3,0.741763,151.072014

"Black Bear 10.07-10.16/Data","S4A04633_20171012_030000.wav",1,0.000,3600.000,"2017-10-12","03:00:00.000",3,0.150360,150.188959

"Black Bear 10.07-10.16/Data","S4A04633_20171012_060000.wav",0,0.000,3600.000,"2017-10-12","06:00:00.000",6,-0.596072,153.541271

"Black Bear 10.07-10.16/Data","S4A04633_20171012_060000.wav",1,0.000,3600.000,"2017-10-12","06:00:00.000",6,-0.313873,153.423451

"Black Bear 10.07-10.16/Data","S4A04633_20171012_070002.wav",0,0.000,3598.000,"2017-10-12","07:00:02.000",7,0.006841,157.075071

"Black Bear 10.07-10.16/Data","S4A04633_20171012_070002.wav",1,0.000,3598.000,"2017-10-12","07:00:02.000",7,0.094014,156.692816

"Black Bear 10.07-10.16/Data","S4A04633_20171012_180000.wav",0,0.000,3600.000,"2017-10-12","18:00:00.000",18,-0.367826,152.985438

"Black Bear 10.07-10.16/Data","S4A04633_20171012_180000.wav",1,0.000,3600.000,"2017-10-12","18:00:00.000",18,-0.420210,154.098234

